"","source.type","pucid","PUC_level1","PUC_level2","PUC_level3","variable","units","dist.type","mean","CV","min.age","max.age","gender"
"7","product","AC.0100.010","arts and crafts/office supplies","body paint","body paint","duration","minutes","lognormal",20,1,0,99,"B"
"11","product","AC.0100.010","arts and crafts/office supplies","body paint","body paint","f.contact","[-]","point",1,0,0,99,"B"
"3","product","AC.0100.010","arts and crafts/office supplies","body paint","body paint","f.drain","[-]","uniform",1,0,0,99,"B"
"1","product","AC.0100.010","arts and crafts/office supplies","body paint","body paint","f.residual","[-]","point",0.01,0,0,99,"B"
"12","product","AC.0100.010","arts and crafts/office supplies","body paint","body paint","house.prev","[-]","point",0.2,1,0,99,"B"
"4","product","AC.0100.010","arts and crafts/office supplies","body paint","body paint","mass","g","lognormal",15,1,0,99,"B"
"5","product","AC.0100.010","arts and crafts/office supplies","body paint","body paint","use.freq","1/year","lognormal",12,1,0,12,"B"
"6","product","AC.0100.010","arts and crafts/office supplies","body paint","body paint","use.freq","1/year","lognormal",6,1,13,99,"B"
"8","product","AC.0100.010","arts and crafts/office supplies","body paint","body paint","use.prev","[-]","point",0.2,1,0,12,"B"
"9","product","AC.0100.010","arts and crafts/office supplies","body paint","body paint","use.prev","[-]","point",0.01,1,13,99,"M"
"10","product","AC.0100.010","arts and crafts/office supplies","body paint","body paint","use.prev","[-]","point",0.01,1,13,99,"W"
"2","product","AC.0100.010","arts and crafts/office supplies","body paint","body paint","volume","m^3","point",24,0,0,99,"B"
"18","product","AC.0200.010","arts and crafts/office supplies","children's art and toys","bubble solution","duration","minutes","lognormal",30,1,0,99,"B"
"22","product","AC.0200.010","arts and crafts/office supplies","children's art and toys","bubble solution","f.contact","[-]","point",0.05,0,0,99,"B"
"15","product","AC.0200.010","arts and crafts/office supplies","children's art and toys","bubble solution","f.drain","[-]","uniform",0.15,0.577350269189626,0,99,"B"
"13","product","AC.0200.010","arts and crafts/office supplies","children's art and toys","bubble solution","f.residual","[-]","point",0.01,0,0,99,"B"
"23","product","AC.0200.010","arts and crafts/office supplies","children's art and toys","bubble solution","house.prev","[-]","point",0.6,1,0,99,"B"
"16","product","AC.0200.010","arts and crafts/office supplies","children's art and toys","bubble solution","mass","g","lognormal",20,1,0,99,"B"
"17","product","AC.0200.010","arts and crafts/office supplies","children's art and toys","bubble solution","use.freq","1/year","lognormal",12,1,0,99,"B"
"19","product","AC.0200.010","arts and crafts/office supplies","children's art and toys","bubble solution","use.prev","[-]","point",0.6,1,0,12,"B"
"20","product","AC.0200.010","arts and crafts/office supplies","children's art and toys","bubble solution","use.prev","[-]","point",0.05,1,13,99,"M"
"21","product","AC.0200.010","arts and crafts/office supplies","children's art and toys","bubble solution","use.prev","[-]","point",0.05,1,13,99,"W"
"14","product","AC.0200.010","arts and crafts/office supplies","children's art and toys","bubble solution","volume","m^3","point",24,0,0,99,"B"
"29","product","AC.0200.020","arts and crafts/office supplies","children's art and toys","crayons","duration","minutes","lognormal",30,1,0,99,"B"
"33","product","AC.0200.020","arts and crafts/office supplies","children's art and toys","crayons","f.contact","[-]","point",0.001,0,0,99,"B"
"24","product","AC.0200.020","arts and crafts/office supplies","children's art and toys","crayons","f.residual","[-]","point",0.01,0,0,99,"B"
"34","product","AC.0200.020","arts and crafts/office supplies","children's art and toys","crayons","house.prev","[-]","point",1,1,0,99,"B"
"26","product","AC.0200.020","arts and crafts/office supplies","children's art and toys","crayons","mass","g","lognormal",0.1,1,0,99,"B"
"27","product","AC.0200.020","arts and crafts/office supplies","children's art and toys","crayons","use.freq","1/year","lognormal",52,1,0,12,"B"
"28","product","AC.0200.020","arts and crafts/office supplies","children's art and toys","crayons","use.freq","1/year","lognormal",12,1,13,99,"B"
"30","product","AC.0200.020","arts and crafts/office supplies","children's art and toys","crayons","use.prev","[-]","point",1,1,0,12,"B"
"31","product","AC.0200.020","arts and crafts/office supplies","children's art and toys","crayons","use.prev","[-]","point",0.05,1,13,99,"M"
"32","product","AC.0200.020","arts and crafts/office supplies","children's art and toys","crayons","use.prev","[-]","point",0.05,1,13,99,"W"
"25","product","AC.0200.020","arts and crafts/office supplies","children's art and toys","crayons","volume","m^3","point",24,0,0,99,"B"
"40","product","AC.0200.030","arts and crafts/office supplies","children's art and toys","finger paint","duration","minutes","lognormal",45,1,0,99,"B"
"44","product","AC.0200.030","arts and crafts/office supplies","children's art and toys","finger paint","f.contact","[-]","point",0.5,0,0,99,"B"
"37","product","AC.0200.030","arts and crafts/office supplies","children's art and toys","finger paint","f.drain","[-]","uniform",0.15,0.577350269189626,0,99,"B"
